Run ID,Name,Status,Steps Completed,AI Credits,Created At,Last Updated,Test Run
cmr8uqhhm50l40pm3amk06v2z,Account summary overview,COMPLETED,2,1.22,2026-07-06T06:41:26.791Z,2026-07-06T06:41:31.886Z,false
cmqyumxcm4r2j0pm185efcmta,Account summary overview,COMPLETED,2,1.223,2026-06-29T06:40:58.962Z,2026-06-29T06:41:05.122Z,false
cmqouflhk3ha60pkucpvkh94k,Account summary overview,COMPLETED,2,1.219,2026-06-22T06:37:35.237Z,2026-06-22T06:37:39.864Z,false
