Run ID,Name,Status,Steps Completed,AI Credits,Created At,Last Updated,Test Run
cmr3aiqa38z670pm70svzh49p,Nómina junio | LUZA ES,COMPLETED,3,15.81,2026-07-02T09:16:41.737Z,2026-07-02T09:16:55.984Z,false
cmqqnyqz911fe0qkteqqn5meb,RE: [EXTERNO]Fwd: Timesheet junio | Luza Group,COMPLETED,0,0,2026-06-23T13:12:03.858Z,2026-06-23T13:12:05.402Z,false
