Run ID,Name,Status,Steps Completed,AI Credits,Created At,Last Updated,Test Run
cmr3e61un1nqp0pmadmrtc7n5,Rentabilidad de tu cartera en junio 2026,COMPLETED,0,0.778,2026-07-02T10:58:48.673Z,2026-07-02T10:58:54.231Z,true
cmr3e251a1nhb0pma4cne7sys,Rentabilidad de tu cartera en junio 2026,COMPLETED,0,0.804,2026-07-02T10:55:46.176Z,2026-07-02T10:55:51.525Z,true
cmr2ais4o4fr60tm6bkdjcs8y,Rentabilidad de tu cartera en junio 2026,COMPLETED,2,2.979,2026-07-01T16:28:57.956Z,2026-07-01T16:29:05.788Z,false
